destin_place,effective_time,origin_place,planned_time,process_id,service_pos,service_type,transport_id,transport_oper
485,1170.0,485,5160.0,8,0,dlv,10481,incoming
485,1074.0,485,933.0,8,0,rcs,5570,outgoing
149,677.0,485,180.0,8,1,dep,5570,outgoing
149,695.0,485,885.0,8,1,rcf,5570,outgoing
149,2830.0,149,6680.0,8,0,dlv,5570,outgoing
690,6013.0,690,6145.0,9,0,rcs,3212,incoming
555,385.0,690,300.0,9,1,dep,3212,incoming
555,635.0,690,810.0,9,1,rcf,3212,incoming
555,672.0,555,1560.0,9,0,dlv,3212,incoming
555,336.0,555,495.0,9,0,rcs,13468,outgoing
356,481.0,555,300.0,9,1,dep,13468,outgoing
356,625.0,555,820.0,9,1,rcf,13468,outgoing
356,218.0,356,3960.0,9,0,dlv,13468,outgoing
281,96.0,281,748.0,10,0,rcs,12343,incoming
128,758.0,281,150.0,10,1,dep,12343,incoming
128,152.0,281,395.0,10,1,rcf,12343,incoming
128,193.0,128,3960.0,10,0,dlv,12343,incoming
308,154.0,308,231.0,10,0,rcs,8553,incoming
128,187.0,308,150.0,10,1,dep,8553,incoming
128,643.0,308,620.0,10,1,rcf,8553,incoming
128,282.0,128,4200.0,10,0,dlv,8553,incoming
128,1088.0,128,1580.0,10,0,rcs,13961,outgoing
413,685.0,128,240.0,10,1,dep,13961,outgoing
413,581.0,128,905.0,10,1,rcf,13961,outgoing
413,223.0,413,3960.0,10,0,dlv,13961,outgoing
377,1157.0,377,1415.0,11,0,rcs,8473,incoming
485,346.0,377,150.0,11,1,dep,8473,incoming
485,179.0,377,280.0,11,1,rcf,8473,incoming
485,977.0,485,5160.0,11,0,dlv,8473,incoming
485,591.0,485,730.0,11,0,rcs,11830,outgoing
281,257.0,485,180.0,11,1,dep,11830,outgoing
281,127.0,485,145.0,11,1,rcf,11830,outgoing
281,20.0,281,2880.0,11,0,dlv,11830,outgoing
281,112.0,281,898.0,12,0,rcs,9931,incoming
815,965.0,281,240.0,12,1,dep,9931,incoming
815,186.0,281,415.0,12,1,rcf,9931,incoming
815,11.0,815,6715.0,12,0,dlv,9931,incoming
281,310.0,281,974.0,12,0,rcs,11023,incoming
815,845.0,281,240.0,12,1,dep,11023,incoming
815,157.0,281,415.0,12,1,rcf,11023,incoming
815,47.0,815,5160.0,12,0,dlv,11023,incoming
614,216.0,614,227.0,12,0,rcs,9401,incoming
815,102.0,614,150.0,12,1,dep,9401,incoming
815,187.0,614,455.0,12,1,rcf,9401,incoming
815,869.0,815,5005.0,12,0,dlv,9401,incoming
815,59.0,815,238.0,12,0,rcs,4744,outgoing
485,254.0,815,135.0,12,1,dep,4744,outgoing
485,319.0,815,280.0,12,1,rcf,4744,outgoing
485,140.0,485,5160.0,12,0,dlv,4744,outgoing
445,3004.0,445,3140.0,13,0,rcs,12666,incoming
128,324.0,445,240.0,13,1,dep,12666,incoming
128,808.0,445,995.0,13,1,rcf,12666,incoming
128,200.0,128,3960.0,13,0,dlv,12666,incoming
413,733.0,413,1499.0,13,0,rcs,7177,incoming
128,1059.0,413,300.0,13,1,dep,7177,incoming
128,759.0,413,970.0,13,1,rcf,7177,incoming
128,1320.0,128,3960.0,13,0,dlv,7177,incoming
128,40.0,128,395.0,13,0,rcs,600,outgoing
413,475.0,128,165.0,13,1,dep,600,outgoing
413,1058.0,128,1275.0,13,1,rcf,600,outgoing
413,934.0,413,3960.0,13,0,dlv,600,outgoing
456,136.0,456,142.0,14,0,rcs,14132,incoming
349,182.0,456,240.0,14,1,dep,14132,incoming
349,1093.0,456,1085.0,14,1,rcf,14132,incoming
349,289.0,349,550.0,14,0,dlv,14132,incoming
671,1814.0,671,2331.0,14,0,rcs,12448,incoming
349,653.0,671,180.0,14,1,dep,12448,incoming
349,917.0,671,890.0,14,1,rcf,12448,incoming
349,1528.0,349,550.0,14,0,dlv,12448,incoming
468,538.0,468,447.0,14,0,rcs,11408,incoming
349,36.0,468,180.0,14,1,dep,11408,incoming
349,987.0,468,935.0,14,1,rcf,11408,incoming
349,693.0,349,385.0,14,0,dlv,11408,incoming
349,133.0,349,405.0,14,0,rcs,3390,outgoing
149,406.0,349,180.0,14,1,dep,3390,outgoing
149,749.0,349,840.0,14,1,rcf,3390,outgoing
149,164.0,149,6680.0,14,0,dlv,3390,outgoing
753,413.0,753,1081.0,15,0,rcs,13119,incoming
511,859.0,753,180.0,15,1,dep,13119,incoming
815,1531.0,511,1014.0,15,2,dep,13119,incoming
511,928.0,753,1575.0,15,1,rcf,13119,incoming
815,1282.0,511,961.0,15,2,rcf,13119,incoming
815,687.0,815,9720.0,15,0,dlv,13119,incoming
815,36949.0,815,37994.0,15,0,rcs,11725,outgoing
700,1075.0,815,90.0,15,1,dep,11725,outgoing
700,983.0,815,1210.0,15,1,rcf,11725,outgoing
700,11.0,700,3780.0,15,0,dlv,11725,outgoing
349,254.0,349,778.0,16,0,rcs,13572,incoming
548,894.0,349,420.0,16,1,dep,13572,incoming
548,2375.0,349,1410.0,16,1,rcf,13572,incoming
548,580.0,548,320.0,16,0,dlv,13572,incoming
349,792.0,349,1191.0,16,0,rcs,5770,incoming
548,792.0,349,420.0,16,1,dep,5770,incoming
548,1353.0,349,1411.0,16,1,rcf,5770,incoming
548,2110.0,548,604.0,16,0,dlv,5770,incoming
548,2589.0,548,2931.0,16,0,rcs,4551,outgoing
128,532.0,548,240.0,16,1,dep,4551,outgoing
128,720.0,548,920.0,16,1,rcf,4551,outgoing
128,108.0,128,3960.0,16,0,dlv,4551,outgoing
815,26485.0,815,27415.0,17,0,rcs,1388,incoming
700,963.0,815,90.0,17,1,dep,1388,incoming
700,1027.0,815,1220.0,17,1,rcf,1388,incoming
700,5.0,700,3780.0,17,0,dlv,1388,incoming
485,1315.0,485,3366.0,17,0,rcs,13517,incoming
700,2099.0,485,90.0,17,1,dep,13517,incoming
700,840.0,485,1250.0,17,1,rcf,13517,incoming
700,427.0,700,3780.0,17,0,dlv,13517,incoming
700,390.0,700,927.0,17,0,rcs,2421,outgoing
411,565.0,700,90.0,17,1,dep,2421,outgoing
411,1527.0,700,2320.0,17,1,rcf,2421,outgoing
411,1681.0,411,3420.0,17,0,dlv,2421,outgoing
815,140.0,815,671.0,18,0,rcs,4697,incoming
153,713.0,815,240.0,18,1,dep,4697,incoming
153,381.0,815,280.0,18,1,rcf,4697,incoming
153,2959.0,153,5160.0,18,0,dlv,4697,incoming
153,1730.0,153,3180.0,18,0,rcs,1321,outgoing
700,1590.0,153,90.0,18,1,dep,1321,outgoing
538,409.0,700,5.0,18,2,dep,1321,outgoing
700,733.0,153,1240.0,18,1,rcf,1321,outgoing
538,635.0,700,935.0,18,2,rcf,1321,outgoing
538,1115.0,538,3780.0,18,0,dlv,1321,outgoing
236,4568.0,236,5442.0,19,0,rcs,13297,incoming
815,934.0,236,120.0,19,1,dep,13297,incoming
441,655.0,815,495.0,19,2,dep,13297,incoming
815,260.0,236,420.0,19,1,rcf,13297,incoming
441,688.0,815,810.0,19,2,rcf,13297,incoming
441,3013.0,441,5040.0,19,0,dlv,13297,incoming
134,488.0,134,518.0,19,0,rcs,10625,incoming
349,140.0,134,170.0,19,1,dep,10625,incoming
441,1150.0,349,1210.0,19,2,dep,10625,incoming
349,543.0,134,465.0,19,1,rcf,10625,incoming
441,808.0,349,920.0,19,2,rcf,10625,incoming
441,1037.0,441,1175.0,19,0,dlv,10625,incoming
441,1283.0,441,1317.0,19,0,rcs,2033,outgoing
349,629.0,441,360.0,19,1,dep,2033,outgoing
349,784.0,441,700.0,19,1,rcf,2033,outgoing
349,492.0,349,550.0,19,0,dlv,2033,outgoing
579,167.0,579,327.0,20,0,rcs,9481,incoming
128,278.0,579,90.0,20,1,dep,9481,incoming
128,584.0,579,1010.0,20,1,rcf,9481,incoming
128,358.0,128,3780.0,20,0,dlv,9481,incoming
579,53.0,579,302.0,20,0,rcs,9455,incoming
128,268.0,579,90.0,20,1,dep,9455,incoming
128,562.0,579,1010.0,20,1,rcf,9455,incoming
128,260.0,128,3780.0,20,0,dlv,9455,incoming
128,52.0,128,606.0,20,0,rcs,11277,outgoing
409,763.0,128,240.0,20,1,dep,11277,outgoing
409,542.0,128,810.0,20,1,rcf,11277,outgoing
409,7005.0,409,3960.0,20,0,dlv,11277,outgoing
391,116.0,391,249.0,21,0,rcs,5838,incoming
815,223.0,391,150.0,21,1,dep,5838,incoming
815,155.0,391,385.0,21,1,rcf,5838,incoming
815,3518.0,815,3160.0,21,0,dlv,5838,incoming
815,16.0,815,82.0,21,0,rcs,10003,outgoing
485,138.0,815,135.0,21,1,dep,10003,outgoing
485,157.0,815,285.0,21,1,rcf,10003,outgoing
485,432.0,485,5160.0,21,0,dlv,10003,outgoing
332,234.0,332,2127.0,22,0,rcs,10613,incoming
815,2158.0,332,300.0,22,1,dep,10613,incoming
815,783.0,332,705.0,22,1,rcf,10613,incoming
815,1459.0,815,5400.0,22,0,dlv,10613,incoming
614,34.0,614,47.0,22,0,rcs,9378,incoming
815,100.0,614,150.0,22,1,dep,9378,incoming
815,189.0,614,455.0,22,1,rcf,9378,incoming
815,873.0,815,5005.0,22,0,dlv,9378,incoming
349,410.0,349,1252.0,22,0,rcs,8092,incoming
815,932.0,349,150.0,22,1,dep,8092,incoming
815,72.0,349,350.0,22,1,rcf,8092,incoming
815,236.0,815,2880.0,22,0,dlv,8092,incoming
815,34.0,815,139.0,22,0,rcs,11117,outgoing
403,292.0,815,240.0,22,1,dep,11117,outgoing
403,867.0,815,945.0,22,1,rcf,11117,outgoing
403,2060.0,403,5160.0,22,0,dlv,11117,outgoing
746,172.0,746,287.0,23,0,rcs,1363,incoming
349,179.0,746,150.0,23,1,dep,1363,incoming
778,983.0,349,905.0,23,2,dep,1363,incoming
349,828.0,746,870.0,23,1,rcf,1363,incoming
778,834.0,349,4941.0,23,2,rcf,1363,incoming
778,3341.0,778,2735.0,23,0,dlv,1363,incoming
349,426.0,349,813.0,23,0,rcs,9350,incoming
778,659.0,349,330.0,23,1,dep,9350,incoming
778,787.0,349,5001.0,23,1,rcf,9350,incoming
778,2207.0,778,2854.0,23,0,dlv,9350,incoming
778,4312.0,778,4583.0,23,0,rcs,9042,outgoing
349,1057.0,778,780.0,23,1,dep,9042,outgoing
757,1623.0,349,1360.0,23,2,dep,9042,outgoing
349,832.0,778,1205.0,23,1,rcf,9042,outgoing
757,808.0,349,1075.0,23,2,rcf,9042,outgoing
757,4090.0,757,1075.0,23,0,dlv,9042,outgoing
815,98.0,815,295.0,24,0,rcs,4038,incoming
391,382.0,815,240.0,24,1,dep,4038,incoming
391,143.0,815,270.0,24,1,rcf,4038,incoming
391,2015.0,391,5070.0,24,0,dlv,4038,incoming
628,389.0,628,921.0,24,0,rcs,13373,incoming
128,814.0,628,300.0,24,1,dep,13373,incoming
391,2210.0,128,2855.0,24,2,dep,13373,incoming
128,1544.0,628,910.0,24,1,rcf,13373,incoming
391,805.0,128,960.0,24,2,rcf,13373,incoming
391,1629.0,391,3960.0,24,0,dlv,13373,incoming
233,657.0,233,3954.0,24,0,rcs,14188,incoming
281,2422.0,233,210.0,24,1,dep,14188,incoming
391,1868.0,281,1460.0,24,2,dep,14188,incoming
281,947.0,233,330.0,24,1,rcf,14188,incoming
391,949.0,281,810.0,24,2,rcf,14188,incoming
391,1569.0,391,3810.0,24,0,dlv,14188,incoming
391,343.0,391,989.0,24,0,rcs,5171,outgoing
815,830.0,391,240.0,24,1,dep,5171,outgoing
783,515.0,815,380.0,24,2,dep,5171,outgoing
815,134.0,391,270.0,24,1,rcf,5171,outgoing
783,156.0,815,260.0,24,2,rcf,5171,outgoing
783,1966.0,783,5100.0,24,0,dlv,5171,outgoing
349,72.0,349,692.0,25,0,rcs,3091,incoming
456,851.0,349,270.0,25,1,dep,3091,incoming
456,1062.0,349,930.0,25,1,rcf,3091,incoming
456,3613.0,456,435.0,25,0,dlv,3091,incoming
128,87.0,128,59.0,25,0,rcs,6901,incoming
456,171.0,128,240.0,25,1,dep,6901,incoming
456,864.0,128,970.0,25,1,rcf,6901,incoming
456,122.0,456,3960.0,25,0,dlv,6901,incoming
398,820.0,398,3204.0,25,0,rcs,1309,incoming
456,2586.0,398,240.0,25,1,dep,1309,incoming
456,705.0,398,815.0,25,1,rcf,1309,incoming
456,213.0,456,9700.0,25,0,dlv,1309,incoming
456,380.0,456,1233.0,25,0,rcs,324,outgoing
128,944.0,456,150.0,25,1,dep,324,outgoing
667,1167.0,128,925.0,25,2,dep,324,outgoing
128,821.0,456,1030.0,25,1,rcf,324,outgoing
667,631.0,128,705.0,25,2,rcf,324,outgoing
667,5859.0,667,4230.0,25,0,dlv,324,outgoing
485,494.0,485,1211.0,26,0,rcs,13510,incoming
700,772.0,485,90.0,26,1,dep,13510,incoming
700,897.0,485,1250.0,26,1,rcf,13510,incoming
700,4.0,700,3780.0,26,0,dlv,13510,incoming
700,525.0,700,860.0,26,0,rcs,8957,outgoing
431,368.0,700,90.0,26,1,dep,8957,outgoing
431,1424.0,700,1935.0,26,1,rcf,8957,outgoing
431,1287.0,431,3780.0,26,0,dlv,8957,outgoing
476,51.0,476,115.0,27,0,rcs,4991,incoming
815,227.0,476,240.0,27,1,dep,4991,incoming
815,731.0,476,975.0,27,1,rcf,4991,incoming
815,7.0,815,6465.0,27,0,dlv,4991,incoming
815,78.0,815,814.0,27,0,rcs,9817,outgoing
527,812.0,815,135.0,27,1,dep,9817,outgoing
527,290.0,815,300.0,27,1,rcf,9817,outgoing
527,24.0,527,5100.0,27,0,dlv,9817,outgoing
349,48.0,349,123.0,28,0,rcs,11674,incoming
413,596.0,349,420.0,28,1,dep,11674,incoming
413,1048.0,349,1240.0,28,1,rcf,11674,incoming
413,365.0,413,360.0,28,0,dlv,11674,incoming
700,534.0,700,1064.0,28,0,rcs,2270,incoming
413,563.0,700,90.0,28,1,dep,2270,incoming
413,495.0,700,860.0,28,1,rcf,2270,incoming
413,1284.0,413,3780.0,28,0,dlv,2270,incoming
413,2591.0,413,2741.0,28,0,rcs,5820,outgoing
128,265.0,413,150.0,28,1,dep,5820,outgoing
391,862.0,128,640.0,28,2,dep,5820,outgoing
128,761.0,413,1000.0,28,1,rcf,5820,outgoing
391,183.0,128,95.0,28,2,rcf,5820,outgoing
391,2649.0,391,4230.0,28,0,dlv,5820,outgoing
753,9.0,753,342.0,29,0,rcs,7108,incoming
174,583.0,753,300.0,29,1,dep,7108,incoming
128,784.0,174,660.0,29,2,dep,7108,incoming
815,193.0,128,845.0,29,3,dep,7108,incoming
174,322.0,753,510.0,29,1,rcf,7108,incoming
128,1805.0,174,1155.0,29,2,rcf,7108,incoming
815,939.0,128,1500.0,29,3,rcf,7108,incoming
815,444.0,815,3960.0,29,0,dlv,7108,incoming
815,36.0,815,1045.0,29,0,rcs,3618,outgoing
671,1195.0,815,240.0,29,1,dep,3618,outgoing
671,884.0,815,995.0,29,1,rcf,3618,outgoing
671,2.0,671,4680.0,29,0,dlv,3618,outgoing
815,892.0,815,1024.0,30,0,rcs,394,incoming
809,559.0,815,420.0,30,1,dep,394,incoming
809,726.0,815,845.0,30,1,rcf,394,incoming
809,2341.0,809,3960.0,30,0,dlv,394,incoming
128,24.0,128,56.0,30,0,rcs,13723,incoming
809,241.0,128,240.0,30,1,dep,13723,incoming
809,516.0,128,785.0,30,1,rcf,13723,incoming
809,159.0,809,3960.0,30,0,dlv,13723,incoming
128,15981.0,128,16266.0,30,0,rcs,4861,incoming
809,512.0,128,240.0,30,1,dep,4861,incoming
809,521.0,128,780.0,30,1,rcf,4861,incoming
809,3513.0,809,3960.0,30,0,dlv,4861,incoming
809,1244.0,809,1545.0,30,0,rcs,12166,outgoing
128,411.0,809,150.0,30,1,dep,12166,outgoing
134,192.0,128,95.0,30,2,dep,12166,outgoing
128,606.0,809,725.0,30,1,rcf,12166,outgoing
134,242.0,128,210.0,30,2,rcf,12166,outgoing
134,2184.0,134,4170.0,30,0,dlv,12166,outgoing
476,10.0,476,139.0,31,0,rcs,13559,incoming
815,305.0,476,240.0,31,1,dep,13559,incoming
815,818.0,476,975.0,31,1,rcf,13559,incoming
815,786.0,815,5040.0,31,0,dlv,13559,incoming
476,87.0,476,216.0,31,0,rcs,144,incoming
815,310.0,476,240.0,31,1,dep,144,incoming
815,741.0,476,985.0,31,1,rcf,144,incoming
815,7.0,815,6465.0,31,0,dlv,144,incoming
815,31.0,815,114.0,31,0,rcs,4319,outgoing
752,260.0,815,240.0,31,1,dep,4319,outgoing
752,342.0,815,465.0,31,1,rcf,4319,outgoing
752,33561.0,752,5760.0,31,0,dlv,4319,outgoing
398,283.0,398,509.0,32,0,rcs,11152,incoming
299,429.0,398,240.0,32,1,dep,11152,incoming
299,369.0,398,1305.0,32,1,rcf,11152,incoming
299,588.0,299,9040.0,32,0,dlv,11152,incoming
411,1674.0,411,1768.0,32,0,rcs,8595,incoming
128,209.0,411,150.0,32,1,dep,8595,incoming
299,1538.0,128,1530.0,32,2,dep,8595,incoming
128,634.0,411,585.0,32,1,rcf,8595,incoming
299,1248.0,128,570.0,32,2,rcf,8595,incoming
299,73.0,299,4230.0,32,0,dlv,8595,incoming
299,16424.0,299,16955.0,32,0,rcs,9552,outgoing
700,556.0,299,90.0,32,1,dep,9552,outgoing
561,958.0,700,725.0,32,2,dep,9552,outgoing
700,605.0,299,820.0,32,1,rcf,9552,outgoing
561,229.0,700,695.0,32,2,rcf,9552,outgoing
561,4388.0,561,3780.0,32,0,dlv,9552,outgoing
815,93.0,815,136.0,33,0,rcs,10315,incoming
485,166.0,815,135.0,33,1,dep,10315,incoming
485,201.0,815,295.0,33,1,rcf,10315,incoming
485,111.0,485,5160.0,33,0,dlv,10315,incoming
476,950.0,476,1082.0,33,0,rcs,5552,incoming
128,321.0,476,240.0,33,1,dep,5552,incoming
485,399.0,128,165.0,33,2,dep,5552,incoming
128,758.0,476,915.0,33,1,rcf,5552,incoming
485,1276.0,128,1260.0,33,2,rcf,5552,incoming
485,341.0,485,3960.0,33,0,dlv,5552,incoming
128,83.0,128,141.0,33,0,rcs,1781,incoming
485,176.0,128,150.0,33,1,dep,1781,incoming
485,122.0,128,110.0,33,1,rcf,1781,incoming
485,151.0,485,4230.0,33,0,dlv,1781,incoming
485,256.0,485,1438.0,33,0,rcs,6793,outgoing
700,1209.0,485,90.0,33,1,dep,6793,outgoing
635,461.0,700,125.0,33,2,dep,6793,outgoing
700,911.0,485,1240.0,33,1,rcf,6793,outgoing
635,399.0,700,800.0,33,2,rcf,6793,outgoing
635,3070.0,635,3780.0,33,0,dlv,6793,outgoing
671,3529.0,671,3858.0,34,0,rcs,3104,incoming
700,702.0,671,90.0,34,1,dep,3104,incoming
308,3647.0,700,3695.0,34,2,dep,3104,incoming
700,524.0,671,815.0,34,1,rcf,3104,incoming
308,1346.0,700,1840.0,34,2,rcf,3104,incoming
308,1121.0,308,3780.0,34,0,dlv,3104,incoming
308,355.0,308,1290.0,34,0,rcs,7418,outgoing
256,1310.0,308,300.0,34,1,dep,7418,outgoing
256,672.0,308,805.0,34,1,rcf,7418,outgoing
256,1257.0,256,2940.0,34,0,dlv,7418,outgoing
815,190.0,815,241.0,35,0,rcs,3491,incoming
485,135.0,815,135.0,35,1,dep,3491,incoming
485,166.0,815,285.0,35,1,rcf,3491,incoming
485,337.0,485,5160.0,35,0,dlv,3491,incoming
134,405.0,134,1220.0,35,0,rcs,10825,incoming
485,941.0,134,155.0,35,1,dep,10825,incoming
485,276.0,134,250.0,35,1,rcf,10825,incoming
485,591.0,485,2880.0,35,0,dlv,10825,incoming
485,6225.0,485,7282.0,35,0,rcs,13507,outgoing
700,1083.0,485,90.0,35,1,dep,13507,outgoing
700,850.0,485,1250.0,35,1,rcf,13507,outgoing
700,1310.0,700,3780.0,35,0,dlv,13507,outgoing
548,5505.0,548,5877.0,36,0,rcs,4535,incoming
128,584.0,548,240.0,36,1,dep,4535,incoming
128,157.0,548,920.0,36,1,rcf,4535,incoming
128,859.0,128,3960.0,36,0,dlv,4535,incoming
128,929.0,128,1315.0,36,0,rcs,14151,outgoing
206,590.0,128,240.0,36,1,dep,14151,outgoing
206,502.0,128,845.0,36,1,rcf,14151,outgoing
206,636.0,206,3960.0,36,0,dlv,14151,outgoing
700,2080.0,700,2713.0,37,0,rcs,2172,incoming
597,697.0,700,90.0,37,1,dep,2172,incoming
597,625.0,700,1100.0,37,1,rcf,2172,incoming
597,3734.0,597,3780.0,37,0,dlv,2172,incoming
700,3975.0,700,4843.0,37,0,rcs,2267,incoming
597,928.0,700,90.0,37,1,dep,2267,incoming
597,493.0,700,905.0,37,1,rcf,2267,incoming
597,19652.0,597,3780.0,37,0,dlv,2267,incoming
349,569.0,349,1329.0,37,0,rcs,12789,incoming
597,1150.0,349,420.0,37,1,dep,12789,incoming
597,950.0,349,1160.0,37,1,rcf,12789,incoming
597,1314.0,597,635.0,37,0,dlv,12789,incoming
597,163.0,597,1048.0,37,0,rcs,5014,outgoing
815,1005.0,597,180.0,37,1,dep,5014,outgoing
134,668.0,815,600.0,37,2,dep,5014,outgoing
815,981.0,597,1050.0,37,1,rcf,5014,outgoing
134,192.0,815,260.0,37,2,rcf,5014,outgoing
134,1421.0,134,5160.0,37,0,dlv,5014,outgoing
597,29.0,597,898.0,38,0,rcs,11135,incoming
349,1049.0,597,240.0,38,1,dep,11135,incoming
556,1485.0,349,1365.0,38,2,dep,11135,incoming
349,773.0,597,950.0,38,1,rcf,11135,incoming
556,894.0,349,927.0,38,2,rcf,11135,incoming
556,529.0,556,393.0,38,0,dlv,11135,incoming
441,1161.0,441,1213.0,38,0,rcs,2916,incoming
349,352.0,441,360.0,38,1,dep,2916,incoming
556,1042.0,349,999.0,38,2,dep,2916,incoming
349,716.0,441,875.0,38,1,rcf,2916,incoming
556,937.0,349,928.0,38,2,rcf,2916,incoming
556,1137.0,556,1143.0,38,0,dlv,2916,incoming
468,515.0,468,490.0,38,0,rcs,11419,incoming
349,219.0,468,300.0,38,1,dep,11419,incoming
556,2438.0,349,2389.0,38,2,dep,11419,incoming
